target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.01,3,0.5058823529411764,0.46903747319483347,0.5427272326875194,0.525925742192223,0.4851878096297068,0.5666636747547392
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.01,3,0.06470588235294118,0.030635374759868085,0.09877638994601429,0.08636157959687371,0.03966676646122087,0.13305639273252656
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.01,3,0.03529411764705882,0.01595977555433784,0.05462845973977981,0.041181139122315594,0.017173054912510904,0.06518922333212028
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.1,3,0.5041297935103245,0.47971363569262876,0.5285459513280203,0.507117600161758,0.4822071364397943,0.5320280638837217
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.1,3,0.06548672566371681,0.05819033705083736,0.07278311427659627,0.09252484300302127,0.08395637262641044,0.10109331337963211
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.1,3,0.05162241887905604,0.04166242641784486,0.06158241134026722,0.058516000791620684,0.04638311412994394,0.07064888745329742
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.5,3,0.49965075669383,0.49337506938944115,0.505926443998219,0.5000578704106552,0.4935612606620888,0.5065544801592217
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.5,3,0.06187427240977881,0.058395766411096006,0.06535277840846161,0.082683127199205,0.07829081930268664,0.08707543509572335
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,0.5,3,0.05372526193247963,0.050042314398458236,0.05740820946650103,0.05802572886695826,0.05414810474032928,0.06190335299358724
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,1.0,3,0.5044554455445545,0.4973103137192605,0.5116005773698484,0.5057493447398278,0.4986128796558878,0.5128858098237679
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,1.0,3,0.0627256843331392,0.060436946191957476,0.06501442247432092,0.0839813406413514,0.08049729203671255,0.08746538924599026
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_ligand,True,1.0,3,0.053377984857309255,0.05029433048203211,0.0564616392325864,0.056778787239151515,0.05353046998226371,0.06002710449603932
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.01,3,0.6323529411764706,0.5656343461925937,0.6990715361603475,0.49350566500917703,0.40976646143588563,0.5772448685824684
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.01,3,0.6058823529411764,0.5591503831326147,0.6526143227497382,0.4590187951703406,0.40134371692629056,0.5166938734143907
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.01,3,0.07352941176470588,0.04026239466391031,0.10679642886550146,0.013180538072178938,0.0035781335667639056,0.022782942577593973
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.1,3,0.5504347826086956,0.5318515382893808,0.5690180269280104,0.39115298476660565,0.3692923496172117,0.4130136199159996
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.1,3,0.48434782608695653,0.4540080750495723,0.5146875771243408,0.3170652635457896,0.2835364865123042,0.35059404057927507
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.1,3,0.04579710144927537,0.032119694592215864,0.05947450830633487,0.004588130729867313,0.0022739116381336392,0.0069023498216009855
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.5,3,0.582213209733488,0.5653184319174177,0.5991079875495583,0.4287331732475139,0.4085006111881631,0.44896573530686473
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.5,3,0.5331402085747394,0.5231075895481314,0.5431728276013474,0.37089044921066844,0.3593313499013468,0.3824495485199901
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,0.5,3,0.07363847045191194,0.06268257012397949,0.08459437077984439,0.010439663956871964,0.007365014971372833,0.013514312942371095
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,1.0,3,0.5614443797320908,0.553622739904657,0.5692660195595246,0.4038103418492868,0.3945499679316787,0.41307071576689497
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,1.0,3,0.5454280722189866,0.5386138801269157,0.5522422643110575,0.38504003512364116,0.37709529074375503,0.3929847795035273
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_most_often,True,1.0,3,0.07443214909726266,0.07054085806720904,0.07832344012731628,0.010355603186241442,0.009309143273654555,0.01140206309882833
