target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.01,0,0.5011065812463599,0.4965175326444776,0.5056956298482421,0.5014009988423164,0.4967589741412302,0.5060430235434025
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.01,0,0.0787711124053582,0.076373215967909,0.0811690088428073,0.1051106235740993,0.1008328543117485,0.1093883928364501
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.01,0,0.0534653465346534,0.0517809762905,0.0551497167788069,0.0573288138474562,0.0553372163568755,0.0593204113380369
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.1,0,0.5039895165987187,0.4984222433086742,0.5095567898887632,0.504246990530499,0.4987109548060941,0.509783026254904
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.1,0,0.0612987769365171,0.0595718614642057,0.0630256924088285,0.0837710216423869,0.0806545778623966,0.0868874654223772
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.1,0,0.0527955736750145,0.0492725631884355,0.0563185841615936,0.0565026556395903,0.0528037260864958,0.0602015851926848
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.5,0,0.5038147932440302,0.4958390463414746,0.5117905401465859,0.5041135779082694,0.4960944460696257,0.512132709746913
X3_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.5,0,0.0625800815375655,0.0607815000270324,0.0643786630480985,0.0837624472075781,0.0809442246601338,0.0865806697550224
E_ligand,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,0.5,0,0.0507862550960978,0.0484046007238828,0.0531679094683128,0.0542342326529993,0.0520807848007603,0.0563876805052384
metal,"['metal', 'X3_ligand', 'E_ligand']",baseline_random_selector,True,1.0,0,0.4997087944088527,0.4913975950068232,0.5080199938108821,0.500011318464902,0.4918249287029309,0.508197708226873
