target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,"['metal', 'E_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
metal,"['metal', 'E_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'X3_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'X3_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
X3_ligand,"['X3_ligand', 'E_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['X3_ligand', 'E_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
metal,"['metal', 'E_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'X3_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'X3_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
X3_ligand,"['X3_ligand', 'E_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['X3_ligand', 'E_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
metal,"['metal', 'E_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'X3_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'X3_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
X3_ligand,"['X3_ligand', 'E_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['X3_ligand', 'E_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
E_ligand,"['X3_ligand', 'E_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.0712288875946418,0.0657956076933005,0.0766621674959831,0.0095570714232258,0.008181721990006,0.0109324208564457
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.1249271986022131,0.1172073201240264,0.1326470770803999,0.0338563856406792,0.0309963687490145,0.0367164025323438
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,True,1.0,1,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'E_ligand']",random_forest,True,1.0,20,0.7880023296447292,0.7790757496174132,0.7969289096720451,0.7870354757461472,0.7782549697672976,0.7958159817249968
E_ligand,"['metal', 'E_ligand']",random_forest,True,1.0,20,0.3337798485730926,0.3264786798076734,0.3410810173385118,0.2698925522177774,0.2634070307486102,0.2763780736869446
metal,"['metal', 'E_ligand']",extra_trees,True,1.0,20,0.77638322655795,0.7678926946788384,0.7848737584370616,0.7752356227642813,0.7669450929157612,0.7835261526128013
E_ligand,"['metal', 'E_ligand']",extra_trees,True,1.0,20,0.3462434478741992,0.337927608583796,0.3545592871646024,0.2631397857265592,0.2578877766255418,0.2683917948275767
metal,"['metal', 'X3_ligand']",random_forest,True,1.0,20,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",random_forest,True,1.0,20,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
metal,"['metal', 'X3_ligand']",extra_trees,True,1.0,20,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
X3_ligand,"['metal', 'X3_ligand']",extra_trees,True,1.0,20,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
X3_ligand,"['X3_ligand', 'E_ligand']",random_forest,True,1.0,20,0.5727722772277227,0.5613014630738213,0.5842430913816241,0.4173037565080831,0.4036618544374568,0.4309456585787093
